User-ID,Location,Age
463,"rouse hill, new south wales, australia",20
469,"corona, california, usa",18
472,"livingston, new jersey, usa",
475,"vancouver, british columbia, canada",34
476,"rome, new york, usa",
479,"iowa city, iowa, usa",
486,"portland, oregon, usa",31
487,"houston, texas, usa",
489,"cape girardeau, missouri, usa",
493,"manhattan, kansas, usa",29
494,"parry sound, ontario, canada",
496,"west salem, wisconsin, usa",51
499,"la verne, california, usa",62
500,"san antonio, texas, usa",17
501,"richmond, virginia, usa",
503,"el centro, california, usa",40
505,"washington, dc, usa",51
507,"dumas, arkansas, usa",
508,"portland, oregon, usa",29
512,"winter springs, florida, usa",58
513,"savannah, georgia, usa",
516,"seattle, washington, usa",
523,"bozeman, montana, usa",19
537,"davis, california,",
538,"perryville, missouri, usa",26
542,"fort worth, texas, usa",
547,"presque isle, maine, usa",
559,"pulaski, virginia, usa",
565,"franklin, tennessee, usa",48
566,"springfield, illinois, usa",
567,"spokane, washington, usa",
276746,"fort worth, ,",
276755,"frankfurt am main, hessen, germany",32
276796,"manchester, england, united kingdom",21
276925,"barcelona, barcelona, spain",22
276939,"poissy, yvelines, france",23
276953,"petaling jaya, selangor, malaysia",18
276954,"freiburg, baden-wuerttemberg, germany",43
276986,"haysville, kansas, usa",28
276994,"wien, wien, austria",25
277042,"hiram, georgia, usa",
277072,"london, england, united kingdom",
277096,"kingston, ontario, canada",57
277123,"hummelstown, ,",60
277157,"garden grove, california, usa",70
277168,"palestine, texas, usa",37
277187,"st. louis, missouri, usa",47
277195,"san francisco, california, usa",54
277197,"allendale, michigan, usa",
277203,"olympia, washington, usa",8
277212,"framingham, massachusetts, usa",
277246,"skillman, new jersey, usa",
277315,"bloomingont, indiana, usa",33
277363,"norcross, georgia, usa",34
277378,"vancouver, british columbia, canada",33
277411,"colorado springs, colorado, usa",48
277413,"norfolk, virginia, usa",56
277427,"gilbert, arizona, usa",48
277439,"turner, oregon, usa",65
277462,"vancouver, british columbia, canada",
277478,"schiedam, zuid-holland, netherlands",31
277517,"doylestown, pennsylvania, usa",
277523,"woodstock, virginia, usa",62
277530,"winnetka, california, usa",52
277554,"oxford, michigan, usa",24
277563,"felton, california, usa",66
277569,"los osos, california, usa",
277623,"alamosa, co, usa",54
277629,"pierre, south dakota, usa",50
277639,"forsyth, montana, usa",48
277641,"san francisco, california, usa",50
277647,"vista, california, usa",
277689,"tucson, arizona, usa",
277706,"lancaster, pennsylvania, usa",
277711,"mannheim, baden-wuerttemberg, germany",34
277722,"arnold, california, usa",
277743,"dewitt, new york, usa",
277744,"springfield, missouri, usa",
277752,"baton rouge, louisiana, usa",18
277783,"baton rouge, louisiana, usa",17
277803,"baton rouge, louisiana, usa",17
277827,"baton rouge, louisiana, usa",17
277828,"baton rouge, louisiana, usa",16
277901,"bath, pennsylvania, usa",40
277915,"san francisco, california, usa",
277922,"st. louis, missouri, usa",26
277928,"grand rapids, michigan, usa",45
277932,"attleboro, massachusetts, usa",
277937,"hemet, california, usa",40
277938,"altoona, iowa, usa",63
277958,"north royalton, ohio, usa",60
277959,"st. joseph, michigan, usa",28
277965,"chula vista, california, usa",
277987,"sunnyvale, california, usa",56
278002,"cartersville, georgia, usa",
278026,"east orange, new jersey, usa",56
278044,"yaphank, new york, usa",
278075,"coos bay, oregon, usa",62
278085,"burnsville, minnesota, usa",27
278104,"st. louis, missouri, usa",
278112,"middleburg hts, , usa",70
278119,"cincinnati, ohio, usa",50
278137,"san antonio, texas, usa",27
278144,"storm lake, iowa, usa",48
278153,"cape canaveralf, florida, usa",61
278172,"burnaby, british columbia, canada",
278176,"medan, su, indonesia",21
278185,"pendleton, oregon, usa",35
278188,"lake george, new york, usa",34
278202,"coral springs, florida, usa",
278218,"canberra, australian capital territory, australia",37
278221,"oshawa, ontario, canada",32
278243,"glen ellyn, illinois, usa",46
278254,"brisol, pennsylvania, usa",26
278255,"robesonia, pennsylvania, usa",34
278257,"new orleans, louisiana, usa",41
278333,"yakima, washington, usa",
278342,"st. john`s, newfoundland, canada",
278350,"niwot, colorado, usa",52
278356,"lakeland, tennessee, usa",57
278373,"dubbo, new south wales, australia",13
278390,"elburn, illinois, usa",35
278418,"omaha, nebraska, usa",
278422,"new york, new york, usa",32
278446,"fallon, nevada, usa",49
278487,"visalia, california, usa",
278490,"southfield, michigan, usa",
278506,"springfield, virginia, usa",
278514,"sandusky, ohio, usa",60
278535,"oshkosh, wisconsin, usa",
278541,"ottawa, ontario, canada",
278552,"royal oak, michigan, usa",26
278554,"takasaki, gunma, japan",22
278561,"merrimack, new hampshire, usa",
278586,"port orchard, washington, usa",63
278633,"sandy, utah, usa",
278681,"downers grove, illinois, usa",
278692,"butler, western australia, australia",26
278723,"prior lake, minnesota, usa",52
278781,"lincolnton, north carolina, usa",54
278798,"stayton, oregon, usa",39
278800,"canyon country, california, usa",45
278813,"phoenix, arizona, usa",
278819,"surfside beach, texas, usa",32
278843,"pismo beach, california, usa",28
278851,"dallas, texas, usa",33
