ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Genre
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,Psychology
804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),Fiction
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company,History
312970242,The Angel Is Near,Deepak Chopra,2000,St. Martin's Press,Travel
1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,1stBooks Library,History
60938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade,Science Fiction
140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,Thriller
345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,Religion
451625889,The Prince,Niccolo Machiavelli,1952,Signet Book,Thriller
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,Philosophy
441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,Philosophy
394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf,History
1569871213,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll,Self-Help
375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf,Self-Help
966986105,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers,Self-Help
087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,Atlantic Monthly Press,Science Fiction
340767936,Turning Thirty,Mike Gayle,2000,Hodder &amp; Stoughton General Division,Non-Fiction
743403843,Decipher,Stel Pavlou,2002,Simon &amp; Schuster (Trade Division),Travel
60930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999,Perennial,Science Fiction
60177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,Harpercollins,Romance
71416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill,Religion
375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003,Random House,Non-Fiction
553062042,Daybreakers Louis Lamour Collection,Louis Lamour,1981,Bantam Doubleday Dell,Business
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro,Philosophy
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro,Mystery
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,Distribooks,Fantasy
679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,Fantasy
671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,Fiction
312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press,Science Fiction
312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press,Non-Fiction
316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books,Mystery
316973742,The Gospel of Judas: A Novel,Simon Mawer,2002,Back Bay Books,Thriller
385235941,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,1987,Doubleday Books,Poetry
446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,Biography
451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,Non-Fiction
553347594,McDonald's: Behind the Arches,John F. Love,1995,Bantam,Fantasy
671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,Fireside,Travel
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,Health
684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,1996,Fireside,Philosophy
786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,Philosophy
8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,2002,Tusquets,Biography
671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek,Psychology
671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket,Romance
440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,1996,Dell,Philosophy
446608653,The Alibi,Sandra Brown,2000,Warner Books,Philosophy
446612545,The Beach House,James Patterson,2003,Warner Books,Mystery
446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books,Fiction
451208080,The Short Forever,Stuart Woods,2003,Signet Book,Non-Fiction
553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,Romance
671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star,Psychology
812575954,The Deal,Joe Hutsko,2000,Tor Books (Mm),Non-Fiction
743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,Fantasy
345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,1991,Ballantine Books,Fiction
380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),History
446325805,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,1994,Warner Books (Mm),Philosophy
451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,1996,Onyx Books,Fiction
671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,Fantasy
743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,Free Press,Fiction
840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,1992,Thomas Nelson Inc,Self-Help
425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,Fantasy
375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House,Psychology
9724119378,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa,Mystery
451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002,Signet Book,History
60929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,Health
60976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,Religion
61099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch,Thriller
671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,Poetry
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor,Fiction
393020371,Next: The Future Just Happened,Michael Lewis,2001,W.W. Norton &amp; Company,Philosophy
1900850303,The Angelic Darkness,Richard Zimler,1999,Arcadia Books,Thriller
1903019699,The Soulbane Stratagem,Norman Jetmundsen,2000,"John Hunt Publishing, Ltd.",Science Fiction
451410319,Hush,Anne Frasier,2002,Onyx Books,Fiction
553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,Thriller
8420639133,Temor y Temblor,Soren Kierkegaard,2001,Alianza,Fantasy
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,2001,Downtown Book Center,Travel
380778556,Rebecca,Daphne Du Maurier,1994,Avon,Psychology
451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book,Philosophy
2740230,Keep It Simple: And Get More Out of Life,Nick Page,1999,Trafalgar Square,Self-Help
385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta,Travel
440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,Laure Leaf,Romance
140252800,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd,Biography
451452755,The Catswold Portal,Shirley Rousseau Murphy,1993,Roc,Poetry
812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,Tor Fantasy,Fiction
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books,Non-Fiction
60801263,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher,Fantasy
61030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,Avon Books,Romance
140250964,Snow Angels,Stewart O'Nan,1995,Penguin Books,History
446527165,Wish You Well,David Baldacci,2000,Warner Books,Romance
671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,History
385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta,Self-Help
039575514X,My Antonia,Willa Cather,1995,Mariner Books,Religion
451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book,Mystery
330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),Mystery
486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications,Biography
671047612,Skin And Bones,Franklin W. Dixon,2000,Aladdin,History
671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,1995,Simon Pulse,Religion
399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,Putnam Pub Group,Travel
785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,2003,Nelson Books,Self-Help
830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,1989,Regal Books,Thriller
345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,Philosophy
553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra,Self-Help
3150000335,Kabale Und Liebe,Schiller,0,"Philipp Reclam, Jun Verlag GmbH",Non-Fiction
3257203659,Der illustrierte Mann. ErzÃ?Â¤hlungen.,Ray Bradbury,2002,Diogenes,Self-Help
3257207522,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,1980,Diogenes Verlag,Philosophy
3257208626,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc,Travel
3257208634,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,Ray Bradbury,1981,Diogenes Verlag,Psychology
3257208669,Das BÃ?Â¶se kommt auf leisen Sohlen.,Ray Bradbury,2003,Diogenes,Travel
3257210450,LÃ?Â¶wenzahnwein. Roman.,Ray Bradbury,1999,Diogenes Verlag,Business
3257212054,Das Kind von morgen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,Psychology
3257212429,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,Self-Help
3257214154,Familientreffen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,Travel
3257216416,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,Ray Bradbury,1988,Diogenes Verlag,Thriller
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,Distribooks,Fiction
3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,1993,Dtv,Biography
3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,1998,Dtv,Philosophy
3426605686,Haifischfrauen.,Kiana Davenport,1996,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",Non-Fiction
3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002,Heyne,Self-Help
3462021095,Schwarzer Tee mit drei StÃ¼ck Zucker,Renan Demirkan,1991,Kiepenheuer &amp; Witsch,Health
3492045642,QuerschÃ?Â¼sse - Downsize This!,Michael Moore,2003,Piper,Travel
3498020862,Die Korrekturen.,Jonathan Franzen,2002,"Rowohlt, Reinbek",Science Fiction
3499110695,Neun ErzÃ?Â¤hlungen.,Jerome D. Salinger,1968,Rowohlt Tb.,Thriller
3499151502,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",Jerome D. Salinger,1998,Rowohlt Tb.,Poetry
3518111000,"Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge, 100).",James Joyce,1981,Suhrkamp,Fiction
3570300099,"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).",Sue Townsend,2002,"Bertelsmann, MÃ?Â¼nchen",Fiction
3596292646,Das Buch der lÃ?Â¤cherlichen Liebe.,Milan Kundera,2000,"Fischer (Tb.), Frankfurt",Romance
312872682,The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel,Robert S. Levinson,2000,St Martins Pr,Philosophy
316602906,The Big Bad Wolf: A Novel,James Patterson,2003,"Little, Brown",Self-Help
316693006,Four Blind Mice,James Patterson,2002,"Little, Brown",Poetry
345311396,Private Screening,Richard North Patterson,1994,Ballantine Books,Fiction
345378490,Congo,Michael Crichton,1995,Ballantine Books,Fantasy
375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,Mystery
380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon,Psychology
380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,Travel
380754509,The Case of the Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,1988,Avon Books,Fiction
038076654X,Petals on the River,Kathleen E. Woodiwiss,1997,Avon Trade,Non-Fiction
380807866,The Elusive Flame,Kathleen E. Woodiwiss,1999,Avon,Self-Help
385316895,Legacy of Silence,Belva Plain,1998,Bantam Dell Pub Group,Self-Help
385508042,The King of Torts,John Grisham,2003,Doubleday Books,Travel
385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday,Travel
385511612,Bleachers,John Grisham,2003,Doubleday,History
385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,History
425164403,Only Love (Magical Love),Erich Segal,1998,Berkley Publishing Group,Thriller
446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,Philosophy
449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books,Psychology
451162072,Pet Sematary,Stephen King,1994,Signet Book,History
451186648,Silent Snow,Steve Thayer,2000,Signet Book,Religion
452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,History
051513290X,Summer of Storms,Judith Kelman,2002,Jove Books,Mystery
553580388,The Patient,Michael Palmer,2001,Bantam Books,Mystery
590598848,"Demona's Revenge (Gargoyles, No. 2)",Francine Hughes,1995,Scholastic,Biography
590629719,Clifford's Sports Day,Norman Bridwell,1996,Scholastic,Health
671027387,Deception Point,Dan Brown,2002,Pocket,Biography
684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,Mystery
743486226,Angels &amp; Demons,Dan Brown,2003,Atria,Poetry
786863986,A Monk Swimming,Malachy McCourt,1998,Hyperion,Poetry
803251718,Crazy Horse,Mari Sandoz,1961,University of Nebraska Press,Fiction
804117934,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,1998,Ivy Books,History
140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor,Self-Help
151008116,Life of Pi,Yann Martel,2002,Harcourt,Health
375704965,A Judgement in Stone,Ruth Rendell,2000,Vintage Books USA,Romance
525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,Religion
804111359,Secret History,DONNA TARTT,1993,Ballantine Books,Philosophy
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,Poetry
435272683,Great Expectations (Heinemann Guided Readers),John Milne,1995,Delta Systems,Self-Help
316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown",Business
006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,HarperTorch,Travel
60013117,Night Watch,Terry Pratchett,2002,HarperCollins,Health
006052779X,Charlotte's Web Book and Charm (Charming Classics),E. B. White,2003,HarperFestival,Health
60563079,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,2003,HarperFestival,Mystery
60809027,My Friend Flicka,Mary O'Hara,1988,Perennial,Poetry
61040967,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,2001,HarperCollins,Health
61050474,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,1998,HarperPrism,Biography
64472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,2002,HarperTempest,Psychology
140620664,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,Psychology
312148267,The Wind in the Willows,Kenneth Grahame,1996,St. Martin's Press,Psychology
312156960,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,1997,St. Martin's Griffin,Mystery
312890044,Moonheart (Newford),Charles de Lint,1994,Orb Books,Mystery
034543191X,The King of Elfland's Daughter (Del Rey Impact),Edward John Moreton Drax Plunkett Dunsany,1999,Del Rey Books,Thriller
373836023,Powder and Patch,Georgette Heyer,2004,Harlequin,Religion
375751513,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,1998,Modern Library,Fiction
375801677,The Iron Giant,Ted Hughes,1999,Knopf Books for Young Readers,Biography
375814248,James and the Giant Peach,ROALD DAHL,2002,Knopf Books for Young Readers,Travel
037582345X,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,Philosophy
375823468,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,Business
380730448,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole",Sue Townsend,1997,Perennial,Self-Help
380973839,Martian Chronicles,Ray Bradbury,1997,William Morrow,Romance
385327773,The Great God Pan,Donna Jo Napoli,2003,Wendy Lamb Books,Non-Fiction
394586239,Possession: A Romance,A. S. Byatt,1990,Random House Inc,Non-Fiction
439510112,Born Confused,Tanuja Desai Hidier,2003,Push,Poetry
451409256,Making Minty Malone,Isabel Wolff,2000,Onyx Books,Health
451523415,Little Women (Signet Classic),Louisa May Alcott,1988,Signet Classics,Fantasy
451526341,Animal Farm,George Orwell,2004,Signet,Self-Help
553280589,Eva Luna,Isabel Allende,1989,Bantam Books,Science Fiction
670035262,The Green Man : Tales from the Mythic Forest,Ellen Datlow,2002,Viking Juvenile,Poetry
679423079,Nicholas Nickleby (Everyman's Library),Charles Dickens,1993,Alfred A. Knopf,Business
679751343,Angels &amp; Insects : Two Novellas,A.S. BYATT,1994,Vintage,Self-Help
684833395,Catch 22,Joseph Heller,1996,Simon &amp; Schuster,Philosophy
743245024,The Forsyte Saga : The Man of Property and In Chancery,John Galsworthy,2002,Touchstone,Self-Help
749748001,The Enchanted Wood,Enid Blyton,2002,Egmont Childrens Books,Self-Help
749748028,The Folk of the Faraway Tree,Enid Blyton,2002,Egmont Childrens Books,Philosophy
963094424,Angels and Visitations: A Miscellany,Neil Gaiman,1993,Dreamhaven Books,Health
1401201172,"League of Extraordinary Gentlemen, Vol. 2 (Comic)",Alan Moore,2003,DC Comics,Thriller
1563892278,"Preludes and Nocturnes (Sandman, Book 1)",Neil Gaiman,1998,DC Comics,Business
1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002,DC Comics,Fiction
156971620X,Harlequin Valentine,Neil Gaiman,2002,Dark Horse Comics,Thriller
1592571301,Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours),Trudy Suggs,2003,Alpha Books,Philosophy
374270325,A Man in Full,Tom Wolfe,1998,Farrar Straus &amp; Giroux,Philosophy
375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,Vintage Books USA,Poetry
440235502,October Sky: A Memoir,Homer Hickam,1999,Dell,Health
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,Science Fiction
1853260673,Far from the Madding Crowd (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,Fantasy
60977477,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1999,Perennial,Mystery
345391691,The Battle for God,Karen Armstrong,2001,Ballantine Books,Self-Help
520011171,Sappho: A New Translation,Mary Barnard,1958,University of California Press,Mystery
553278746,The Postman (Bantam Classics),David Brin,1990,Spectra Books,Biography
670856045,The Tortilla Curtain,T. Coraghessan Boyle,1995,Viking Books,Philosophy
872200760,Symposium,Paul Woodruff,1989,Hackett Pub Co Inc,Religion
937858994,The What's Happening to My Body? Book for Boys: A Growing Up Guide for Parents and Sons,Lynda Madaras,1987,W W Norton &amp; Co,Science Fiction
671649949,OBJECT AFFECTION,Stephen McCauley,1988,Washington Square Press,Health
590431110,The Journey Home,Isabelle Holland,1993,Scholastic Paperbacks (Mm),Biography
64470113,Taking the Ferry Home,Pam Conrad,1990,Harpercollins Juvenile Books,Non-Fiction
553571486,Angel of Hope (Mercy Trilogy),Lurlene McDaniel,2000,Starfire,Travel
972044205,The Breach,Brian Kaufman,2002,Last Knight Pub Co,Travel
312963009,Neanderthal: A Novel,John Darnton,1997,St. Martin's Press,Romance
345430476,A Small Dark Place,Martin Schenk,1999,Ballantine Books,Travel
345435869,The Rivan Codex : Ancient Texts of THE BELGARIAD and THE MALLOREON,DAVID EDDINGS,1999,Del Rey,Science Fiction
380728729,Babyhood,Paul Reiser,1998,Avon,Business
038081840X,Year's Best Fantasy (Year's Best Fantasy),David G. Hartwell,2001,Eos,Self-Help
449912302,Dave Barry in Cyberspace,Dave Barry,1997,Ballantine Books,Religion
055329198X,Wolf Moon,John R. Holt,1997,Bantam,Travel
671018930,The War in Heaven (Eternal Warriors),Theodore Beale,2000,Pocket,Business
812541642,Waiting,Frank M. Robinson,2000,Tor Books,Romance
312988699,Nowhere To Run,Mary Jane Clark,2004,St. Martin's Paperbacks,Philosophy
486282112,Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley,1994,Dover Publications,Fiction
8483007010,El gust amarg de la cervesa (CollecciÃ³ ClÃ ssica),Isabel-Clara SimÃ³,1999,Columna,History
670815373,Urn Burial,Robert Westall,1987,Viking Children's Books,Thriller
