PJME_MW,dow,doy,year,month,quarter,hour,dom,date,season,year_diff
34696.0,3,3,2002,1,1,7,3,2002-01-03,Winter,0.0
37196.0,3,3,2002,1,1,8,3,2002-01-03,Winter,0.0
37436.0,3,3,2002,1,1,9,3,2002-01-03,Winter,0.0
37323.0,3,3,2002,1,1,10,3,2002-01-03,Winter,0.0
37198.0,3,3,2002,1,1,11,3,2002-01-03,Winter,0.0
36548.0,3,3,2002,1,1,12,3,2002-01-03,Winter,0.0
36024.0,3,3,2002,1,1,13,3,2002-01-03,Winter,0.0
35186.0,3,3,2002,1,1,14,3,2002-01-03,Winter,0.0
34478.0,3,3,2002,1,1,15,3,2002-01-03,Winter,0.0
34497.0,3,3,2002,1,1,16,3,2002-01-03,Winter,0.0
35807.0,3,3,2002,1,1,17,3,2002-01-03,Winter,0.0
39261.0,3,3,2002,1,1,18,3,2002-01-03,Winter,0.0
39662.0,3,3,2002,1,1,19,3,2002-01-03,Winter,0.0
39177.0,3,3,2002,1,1,20,3,2002-01-03,Winter,0.0
38328.0,3,3,2002,1,1,21,3,2002-01-03,Winter,0.0
36636.0,3,3,2002,1,1,22,3,2002-01-03,Winter,0.0
33869.0,3,3,2002,1,1,23,3,2002-01-03,Winter,0.0
31038.0,4,4,2002,1,1,0,4,2002-01-04,Winter,0.0
29338.0,4,4,2002,1,1,1,4,2002-01-04,Winter,0.0
28421.0,4,4,2002,1,1,2,4,2002-01-04,Winter,0.0
28145.0,4,4,2002,1,1,3,4,2002-01-04,Winter,0.0
28122.0,4,4,2002,1,1,4,4,2002-01-04,Winter,0.0
28637.0,4,4,2002,1,1,5,4,2002-01-04,Winter,0.0
30540.0,4,4,2002,1,1,6,4,2002-01-04,Winter,0.0
34579.0,4,4,2002,1,1,7,4,2002-01-04,Winter,0.0
36958.0,4,4,2002,1,1,8,4,2002-01-04,Winter,0.0
36721.0,4,4,2002,1,1,9,4,2002-01-04,Winter,0.0
36318.0,4,4,2002,1,1,10,4,2002-01-04,Winter,0.0
35809.0,4,4,2002,1,1,11,4,2002-01-04,Winter,0.0
35333.0,4,4,2002,1,1,12,4,2002-01-04,Winter,0.0
34639.0,4,4,2002,1,1,13,4,2002-01-04,Winter,0.0
34237.0,4,4,2002,1,1,14,4,2002-01-04,Winter,0.0
33577.0,4,4,2002,1,1,15,4,2002-01-04,Winter,0.0
33352.0,4,4,2002,1,1,16,4,2002-01-04,Winter,0.0
34563.0,4,4,2002,1,1,17,4,2002-01-04,Winter,0.0
37710.0,4,4,2002,1,1,18,4,2002-01-04,Winter,0.0
38263.0,4,4,2002,1,1,19,4,2002-01-04,Winter,0.0
37539.0,4,4,2002,1,1,20,4,2002-01-04,Winter,0.0
36762.0,4,4,2002,1,1,21,4,2002-01-04,Winter,0.0
35368.0,4,4,2002,1,1,22,4,2002-01-04,Winter,0.0
33202.0,4,4,2002,1,1,23,4,2002-01-04,Winter,0.0
30924.0,5,5,2002,1,1,0,5,2002-01-05,Winter,0.0
28635.0,5,5,2002,1,1,1,5,2002-01-05,Winter,0.0
27501.0,5,5,2002,1,1,2,5,2002-01-05,Winter,0.0
27034.0,5,5,2002,1,1,3,5,2002-01-05,Winter,0.0
26669.0,5,5,2002,1,1,4,5,2002-01-05,Winter,0.0
26822.0,5,5,2002,1,1,5,5,2002-01-05,Winter,0.0
27399.0,5,5,2002,1,1,6,5,2002-01-05,Winter,0.0
28557.0,5,5,2002,1,1,7,5,2002-01-05,Winter,0.0
29709.0,5,5,2002,1,1,8,5,2002-01-05,Winter,0.0
31241.0,5,5,2002,1,1,9,5,2002-01-05,Winter,0.0
32375.0,5,5,2002,1,1,10,5,2002-01-05,Winter,0.0
32490.0,5,5,2002,1,1,11,5,2002-01-05,Winter,0.0
31933.0,5,5,2002,1,1,12,5,2002-01-05,Winter,0.0
31099.0,5,5,2002,1,1,13,5,2002-01-05,Winter,0.0
30399.0,5,5,2002,1,1,14,5,2002-01-05,Winter,0.0
29551.0,5,5,2002,1,1,15,5,2002-01-05,Winter,0.0
29299.0,5,5,2002,1,1,16,5,2002-01-05,Winter,0.0
30729.0,5,5,2002,1,1,17,5,2002-01-05,Winter,0.0
33846.0,5,5,2002,1,1,18,5,2002-01-05,Winter,0.0
34092.0,5,5,2002,1,1,19,5,2002-01-05,Winter,0.0
33684.0,5,5,2002,1,1,20,5,2002-01-05,Winter,0.0
33033.0,5,5,2002,1,1,21,5,2002-01-05,Winter,0.0
32022.0,5,5,2002,1,1,22,5,2002-01-05,Winter,0.0
30680.0,5,5,2002,1,1,23,5,2002-01-05,Winter,0.0
29011.0,6,6,2002,1,1,0,6,2002-01-06,Winter,0.0
27100.0,6,6,2002,1,1,1,6,2002-01-06,Winter,0.0
26097.0,6,6,2002,1,1,2,6,2002-01-06,Winter,0.0
25793.0,6,6,2002,1,1,3,6,2002-01-06,Winter,0.0
25657.0,6,6,2002,1,1,4,6,2002-01-06,Winter,0.0
25778.0,6,6,2002,1,1,5,6,2002-01-06,Winter,0.0
26396.0,6,6,2002,1,1,6,6,2002-01-06,Winter,0.0
27143.0,6,6,2002,1,1,7,6,2002-01-06,Winter,0.0
28059.0,6,6,2002,1,1,8,6,2002-01-06,Winter,0.0
29379.0,6,6,2002,1,1,9,6,2002-01-06,Winter,0.0
30744.0,6,6,2002,1,1,10,6,2002-01-06,Winter,0.0
31051.0,6,6,2002,1,1,11,6,2002-01-06,Winter,0.0
31040.0,6,6,2002,1,1,12,6,2002-01-06,Winter,0.0
31139.0,6,6,2002,1,1,13,6,2002-01-06,Winter,0.0
31233.0,6,6,2002,1,1,14,6,2002-01-06,Winter,0.0
31375.0,6,6,2002,1,1,15,6,2002-01-06,Winter,0.0
32003.0,6,6,2002,1,1,16,6,2002-01-06,Winter,0.0
33899.0,6,6,2002,1,1,17,6,2002-01-06,Winter,0.0
35900.0,6,6,2002,1,1,18,6,2002-01-06,Winter,0.0
35971.0,6,6,2002,1,1,19,6,2002-01-06,Winter,0.0
35306.0,6,6,2002,1,1,20,6,2002-01-06,Winter,0.0
34315.0,6,6,2002,1,1,21,6,2002-01-06,Winter,0.0
32731.0,6,6,2002,1,1,22,6,2002-01-06,Winter,0.0
30646.0,6,6,2002,1,1,23,6,2002-01-06,Winter,0.0
28337.0,0,7,2002,1,1,0,7,2002-01-07,Winter,0.0
26862.0,0,7,2002,1,1,1,7,2002-01-07,Winter,0.0
25976.0,0,7,2002,1,1,2,7,2002-01-07,Winter,0.0
25641.0,0,7,2002,1,1,3,7,2002-01-07,Winter,0.0
25666.0,0,7,2002,1,1,4,7,2002-01-07,Winter,0.0
26328.0,0,7,2002,1,1,5,7,2002-01-07,Winter,0.0
28267.0,0,7,2002,1,1,6,7,2002-01-07,Winter,0.0
31938.0,0,7,2002,1,1,7,7,2002-01-07,Winter,0.0
34678.0,0,7,2002,1,1,8,7,2002-01-07,Winter,0.0
35349.0,0,7,2002,1,1,9,7,2002-01-07,Winter,0.0
35542.0,0,7,2002,1,1,10,7,2002-01-07,Winter,0.0
35857.0,0,7,2002,1,1,11,7,2002-01-07,Winter,0.0
35787.0,0,7,2002,1,1,12,7,2002-01-07,Winter,0.0
35790.0,0,7,2002,1,1,13,7,2002-01-07,Winter,0.0
35594.0,0,7,2002,1,1,14,7,2002-01-07,Winter,0.0
35527.0,0,7,2002,1,1,15,7,2002-01-07,Winter,0.0
35489.0,0,7,2002,1,1,16,7,2002-01-07,Winter,0.0
36530.0,0,7,2002,1,1,17,7,2002-01-07,Winter,0.0
39140.0,0,7,2002,1,1,18,7,2002-01-07,Winter,0.0
39581.0,0,7,2002,1,1,19,7,2002-01-07,Winter,0.0
38780.0,0,7,2002,1,1,20,7,2002-01-07,Winter,0.0
37777.0,0,7,2002,1,1,21,7,2002-01-07,Winter,0.0
35997.0,0,7,2002,1,1,22,7,2002-01-07,Winter,0.0
33579.0,0,7,2002,1,1,23,7,2002-01-07,Winter,0.0
31187.0,1,8,2002,1,1,0,8,2002-01-08,Winter,0.0
29445.0,1,8,2002,1,1,1,8,2002-01-08,Winter,0.0
28670.0,1,8,2002,1,1,2,8,2002-01-08,Winter,0.0
28375.0,1,8,2002,1,1,3,8,2002-01-08,Winter,0.0
28542.0,1,8,2002,1,1,4,8,2002-01-08,Winter,0.0
29261.0,1,8,2002,1,1,5,8,2002-01-08,Winter,0.0
31348.0,1,8,2002,1,1,6,8,2002-01-08,Winter,0.0
35335.0,1,8,2002,1,1,7,8,2002-01-08,Winter,0.0
37841.0,1,8,2002,1,1,8,8,2002-01-08,Winter,0.0
37417.0,1,8,2002,1,1,9,8,2002-01-08,Winter,0.0
36824.0,1,8,2002,1,1,10,8,2002-01-08,Winter,0.0
36504.0,1,8,2002,1,1,11,8,2002-01-08,Winter,0.0
35741.0,1,8,2002,1,1,12,8,2002-01-08,Winter,0.0
35158.0,1,8,2002,1,1,13,8,2002-01-08,Winter,0.0
34591.0,1,8,2002,1,1,14,8,2002-01-08,Winter,0.0
34078.0,1,8,2002,1,1,15,8,2002-01-08,Winter,0.0
34006.0,1,8,2002,1,1,16,8,2002-01-08,Winter,0.0
35270.0,1,8,2002,1,1,17,8,2002-01-08,Winter,0.0
38779.0,1,8,2002,1,1,18,8,2002-01-08,Winter,0.0
39450.0,1,8,2002,1,1,19,8,2002-01-08,Winter,0.0
38898.0,1,8,2002,1,1,20,8,2002-01-08,Winter,0.0
38178.0,1,8,2002,1,1,21,8,2002-01-08,Winter,0.0
36282.0,1,8,2002,1,1,22,8,2002-01-08,Winter,0.0
33530.0,1,8,2002,1,1,23,8,2002-01-08,Winter,0.0
30943.0,2,9,2002,1,1,0,9,2002-01-09,Winter,0.0
29082.0,2,9,2002,1,1,1,9,2002-01-09,Winter,0.0
28154.0,2,9,2002,1,1,2,9,2002-01-09,Winter,0.0
27829.0,2,9,2002,1,1,3,9,2002-01-09,Winter,0.0
27759.0,2,9,2002,1,1,4,9,2002-01-09,Winter,0.0
28308.0,2,9,2002,1,1,5,9,2002-01-09,Winter,0.0
30169.0,2,9,2002,1,1,6,9,2002-01-09,Winter,0.0
34261.0,2,9,2002,1,1,7,9,2002-01-09,Winter,0.0
36714.0,2,9,2002,1,1,8,9,2002-01-09,Winter,0.0
36494.0,2,9,2002,1,1,9,9,2002-01-09,Winter,0.0
36417.0,2,9,2002,1,1,10,9,2002-01-09,Winter,0.0
36529.0,2,9,2002,1,1,11,9,2002-01-09,Winter,0.0
36181.0,2,9,2002,1,1,12,9,2002-01-09,Winter,0.0
35698.0,2,9,2002,1,1,13,9,2002-01-09,Winter,0.0
35342.0,2,9,2002,1,1,14,9,2002-01-09,Winter,0.0
34750.0,2,9,2002,1,1,15,9,2002-01-09,Winter,0.0
34709.0,2,9,2002,1,1,16,9,2002-01-09,Winter,0.0
35477.0,2,9,2002,1,1,17,9,2002-01-09,Winter,0.0
37984.0,2,9,2002,1,1,18,9,2002-01-09,Winter,0.0
38111.0,2,9,2002,1,1,19,9,2002-01-09,Winter,0.0
37316.0,2,9,2002,1,1,20,9,2002-01-09,Winter,0.0
36319.0,2,9,2002,1,1,21,9,2002-01-09,Winter,0.0
34456.0,2,9,2002,1,1,22,9,2002-01-09,Winter,0.0
31626.0,2,9,2002,1,1,23,9,2002-01-09,Winter,0.0
29096.0,3,10,2002,1,1,0,10,2002-01-10,Winter,0.0
27144.0,3,10,2002,1,1,1,10,2002-01-10,Winter,0.0
26163.0,3,10,2002,1,1,2,10,2002-01-10,Winter,0.0
25752.0,3,10,2002,1,1,3,10,2002-01-10,Winter,0.0
25629.0,3,10,2002,1,1,4,10,2002-01-10,Winter,0.0
26257.0,3,10,2002,1,1,5,10,2002-01-10,Winter,0.0
28350.0,3,10,2002,1,1,6,10,2002-01-10,Winter,0.0
32472.0,3,10,2002,1,1,7,10,2002-01-10,Winter,0.0
34791.0,3,10,2002,1,1,8,10,2002-01-10,Winter,0.0
34403.0,3,10,2002,1,1,9,10,2002-01-10,Winter,0.0
33905.0,3,10,2002,1,1,10,10,2002-01-10,Winter,0.0
33416.0,3,10,2002,1,1,11,10,2002-01-10,Winter,0.0
32986.0,3,10,2002,1,1,12,10,2002-01-10,Winter,0.0
32499.0,3,10,2002,1,1,13,10,2002-01-10,Winter,0.0
32380.0,3,10,2002,1,1,14,10,2002-01-10,Winter,0.0
31904.0,3,10,2002,1,1,15,10,2002-01-10,Winter,0.0
31866.0,3,10,2002,1,1,16,10,2002-01-10,Winter,0.0
32910.0,3,10,2002,1,1,17,10,2002-01-10,Winter,0.0
35702.0,3,10,2002,1,1,18,10,2002-01-10,Winter,0.0
35895.0,3,10,2002,1,1,19,10,2002-01-10,Winter,0.0
35194.0,3,10,2002,1,1,20,10,2002-01-10,Winter,0.0
34259.0,3,10,2002,1,1,21,10,2002-01-10,Winter,0.0
32431.0,3,10,2002,1,1,22,10,2002-01-10,Winter,0.0
29913.0,3,10,2002,1,1,23,10,2002-01-10,Winter,0.0
27252.0,4,11,2002,1,1,0,11,2002-01-11,Winter,0.0
25364.0,4,11,2002,1,1,1,11,2002-01-11,Winter,0.0
24433.0,4,11,2002,1,1,2,11,2002-01-11,Winter,0.0
23966.0,4,11,2002,1,1,3,11,2002-01-11,Winter,0.0
23928.0,4,11,2002,1,1,4,11,2002-01-11,Winter,0.0
24559.0,4,11,2002,1,1,5,11,2002-01-11,Winter,0.0
26612.0,4,11,2002,1,1,6,11,2002-01-11,Winter,0.0
30639.0,4,11,2002,1,1,7,11,2002-01-11,Winter,0.0
33601.0,4,11,2002,1,1,8,11,2002-01-11,Winter,0.0
33849.0,4,11,2002,1,1,9,11,2002-01-11,Winter,0.0
34012.0,4,11,2002,1,1,10,11,2002-01-11,Winter,0.0
34179.0,4,11,2002,1,1,11,11,2002-01-11,Winter,0.0
33877.0,4,11,2002,1,1,12,11,2002-01-11,Winter,0.0
33177.0,4,11,2002,1,1,13,11,2002-01-11,Winter,0.0
32816.0,4,11,2002,1,1,14,11,2002-01-11,Winter,0.0
32450.0,4,11,2002,1,1,15,11,2002-01-11,Winter,0.0
32264.0,4,11,2002,1,1,16,11,2002-01-11,Winter,0.0
33284.0,4,11,2002,1,1,17,11,2002-01-11,Winter,0.0
35631.0,4,11,2002,1,1,18,11,2002-01-11,Winter,0.0
35672.0,4,11,2002,1,1,19,11,2002-01-11,Winter,0.0
34829.0,4,11,2002,1,1,20,11,2002-01-11,Winter,0.0
33588.0,4,11,2002,1,1,21,11,2002-01-11,Winter,0.0
32373.0,4,11,2002,1,1,22,11,2002-01-11,Winter,0.0
30386.0,4,11,2002,1,1,23,11,2002-01-11,Winter,0.0
28222.0,5,12,2002,1,1,0,12,2002-01-12,Winter,0.0
26248.0,5,12,2002,1,1,1,12,2002-01-12,Winter,0.0
25198.0,5,12,2002,1,1,2,12,2002-01-12,Winter,0.0
24791.0,5,12,2002,1,1,3,12,2002-01-12,Winter,0.0
24665.0,5,12,2002,1,1,4,12,2002-01-12,Winter,0.0
24887.0,5,12,2002,1,1,5,12,2002-01-12,Winter,0.0
25701.0,5,12,2002,1,1,6,12,2002-01-12,Winter,0.0
27096.0,5,12,2002,1,1,7,12,2002-01-12,Winter,0.0
28437.0,5,12,2002,1,1,8,12,2002-01-12,Winter,0.0
29891.0,5,12,2002,1,1,9,12,2002-01-12,Winter,0.0
30623.0,5,12,2002,1,1,10,12,2002-01-12,Winter,0.0
30641.0,5,12,2002,1,1,11,12,2002-01-12,Winter,0.0
30059.0,5,12,2002,1,1,12,12,2002-01-12,Winter,0.0
29210.0,5,12,2002,1,1,13,12,2002-01-12,Winter,0.0
28395.0,5,12,2002,1,1,14,12,2002-01-12,Winter,0.0
27712.0,5,12,2002,1,1,15,12,2002-01-12,Winter,0.0
27446.0,5,12,2002,1,1,16,12,2002-01-12,Winter,0.0
28518.0,5,12,2002,1,1,17,12,2002-01-12,Winter,0.0
31548.0,5,12,2002,1,1,18,12,2002-01-12,Winter,0.0
32283.0,5,12,2002,1,1,19,12,2002-01-12,Winter,0.0
31762.0,5,12,2002,1,1,20,12,2002-01-12,Winter,0.0
31097.0,5,12,2002,1,1,21,12,2002-01-12,Winter,0.0
30135.0,5,12,2002,1,1,22,12,2002-01-12,Winter,0.0
28640.0,5,12,2002,1,1,23,12,2002-01-12,Winter,0.0
26803.0,6,13,2002,1,1,0,13,2002-01-13,Winter,0.0
25052.0,6,13,2002,1,1,1,13,2002-01-13,Winter,0.0
24007.0,6,13,2002,1,1,2,13,2002-01-13,Winter,0.0
23441.0,6,13,2002,1,1,3,13,2002-01-13,Winter,0.0
23129.0,6,13,2002,1,1,4,13,2002-01-13,Winter,0.0
23244.0,6,13,2002,1,1,5,13,2002-01-13,Winter,0.0
23700.0,6,13,2002,1,1,6,13,2002-01-13,Winter,0.0
24737.0,6,13,2002,1,1,7,13,2002-01-13,Winter,0.0
25970.0,6,13,2002,1,1,8,13,2002-01-13,Winter,0.0
27369.0,6,13,2002,1,1,9,13,2002-01-13,Winter,0.0
28455.0,6,13,2002,1,1,10,13,2002-01-13,Winter,0.0
28982.0,6,13,2002,1,1,11,13,2002-01-13,Winter,0.0
29257.0,6,13,2002,1,1,12,13,2002-01-13,Winter,0.0
29364.0,6,13,2002,1,1,13,13,2002-01-13,Winter,0.0
29036.0,6,13,2002,1,1,14,13,2002-01-13,Winter,0.0
28702.0,6,13,2002,1,1,15,13,2002-01-13,Winter,0.0
28615.0,6,13,2002,1,1,16,13,2002-01-13,Winter,0.0
29730.0,6,13,2002,1,1,17,13,2002-01-13,Winter,0.0
32721.0,6,13,2002,1,1,18,13,2002-01-13,Winter,0.0
33627.0,6,13,2002,1,1,19,13,2002-01-13,Winter,0.0
33337.0,6,13,2002,1,1,20,13,2002-01-13,Winter,0.0
32851.0,6,13,2002,1,1,21,13,2002-01-13,Winter,0.0
31594.0,6,13,2002,1,1,22,13,2002-01-13,Winter,0.0
29545.0,6,13,2002,1,1,23,13,2002-01-13,Winter,0.0
27659.0,0,14,2002,1,1,0,14,2002-01-14,Winter,0.0
26059.0,0,14,2002,1,1,1,14,2002-01-14,Winter,0.0
25487.0,0,14,2002,1,1,2,14,2002-01-14,Winter,0.0
25363.0,0,14,2002,1,1,3,14,2002-01-14,Winter,0.0
25436.0,0,14,2002,1,1,4,14,2002-01-14,Winter,0.0
26117.0,0,14,2002,1,1,5,14,2002-01-14,Winter,0.0
28402.0,0,14,2002,1,1,6,14,2002-01-14,Winter,0.0
32754.0,0,14,2002,1,1,7,14,2002-01-14,Winter,0.0
35194.0,0,14,2002,1,1,8,14,2002-01-14,Winter,0.0
34939.0,0,14,2002,1,1,9,14,2002-01-14,Winter,0.0
34515.0,0,14,2002,1,1,10,14,2002-01-14,Winter,0.0
34062.0,0,14,2002,1,1,11,14,2002-01-14,Winter,0.0
33461.0,0,14,2002,1,1,12,14,2002-01-14,Winter,0.0
32880.0,0,14,2002,1,1,13,14,2002-01-14,Winter,0.0
32531.0,0,14,2002,1,1,14,14,2002-01-14,Winter,0.0
31982.0,0,14,2002,1,1,15,14,2002-01-14,Winter,0.0
32184.0,0,14,2002,1,1,16,14,2002-01-14,Winter,0.0
33544.0,0,14,2002,1,1,17,14,2002-01-14,Winter,0.0
36206.0,0,14,2002,1,1,18,14,2002-01-14,Winter,0.0
36504.0,0,14,2002,1,1,19,14,2002-01-14,Winter,0.0
35782.0,0,14,2002,1,1,20,14,2002-01-14,Winter,0.0
34665.0,0,14,2002,1,1,21,14,2002-01-14,Winter,0.0
32740.0,0,14,2002,1,1,22,14,2002-01-14,Winter,0.0
30005.0,0,14,2002,1,1,23,14,2002-01-14,Winter,0.0
27483.0,1,15,2002,1,1,0,15,2002-01-15,Winter,0.0
25643.0,1,15,2002,1,1,1,15,2002-01-15,Winter,0.0
24967.0,1,15,2002,1,1,2,15,2002-01-15,Winter,0.0
24715.0,1,15,2002,1,1,3,15,2002-01-15,Winter,0.0
24826.0,1,15,2002,1,1,4,15,2002-01-15,Winter,0.0
25630.0,1,15,2002,1,1,5,15,2002-01-15,Winter,0.0
27870.0,1,15,2002,1,1,6,15,2002-01-15,Winter,0.0
32057.0,1,15,2002,1,1,7,15,2002-01-15,Winter,0.0
34375.0,1,15,2002,1,1,8,15,2002-01-15,Winter,0.0
34143.0,1,15,2002,1,1,9,15,2002-01-15,Winter,0.0
33509.0,1,15,2002,1,1,10,15,2002-01-15,Winter,0.0
33178.0,1,15,2002,1,1,11,15,2002-01-15,Winter,0.0
32828.0,1,15,2002,1,1,12,15,2002-01-15,Winter,0.0
32421.0,1,15,2002,1,1,13,15,2002-01-15,Winter,0.0
32278.0,1,15,2002,1,1,14,15,2002-01-15,Winter,0.0
31970.0,1,15,2002,1,1,15,15,2002-01-15,Winter,0.0
31927.0,1,15,2002,1,1,16,15,2002-01-15,Winter,0.0
32905.0,1,15,2002,1,1,17,15,2002-01-15,Winter,0.0
35730.0,1,15,2002,1,1,18,15,2002-01-15,Winter,0.0
36282.0,1,15,2002,1,1,19,15,2002-01-15,Winter,0.0
35694.0,1,15,2002,1,1,20,15,2002-01-15,Winter,0.0
34953.0,1,15,2002,1,1,21,15,2002-01-15,Winter,0.0
33278.0,1,15,2002,1,1,22,15,2002-01-15,Winter,0.0
30709.0,1,15,2002,1,1,23,15,2002-01-15,Winter,0.0
28211.0,2,16,2002,1,1,0,16,2002-01-16,Winter,0.0
26530.0,2,16,2002,1,1,1,16,2002-01-16,Winter,0.0
25750.0,2,16,2002,1,1,2,16,2002-01-16,Winter,0.0
25472.0,2,16,2002,1,1,3,16,2002-01-16,Winter,0.0
25460.0,2,16,2002,1,1,4,16,2002-01-16,Winter,0.0
26174.0,2,16,2002,1,1,5,16,2002-01-16,Winter,0.0
28361.0,2,16,2002,1,1,6,16,2002-01-16,Winter,0.0
32443.0,2,16,2002,1,1,7,16,2002-01-16,Winter,0.0
34902.0,2,16,2002,1,1,8,16,2002-01-16,Winter,0.0
34752.0,2,16,2002,1,1,9,16,2002-01-16,Winter,0.0
34341.0,2,16,2002,1,1,10,16,2002-01-16,Winter,0.0
34223.0,2,16,2002,1,1,11,16,2002-01-16,Winter,0.0
33875.0,2,16,2002,1,1,12,16,2002-01-16,Winter,0.0
33488.0,2,16,2002,1,1,13,16,2002-01-16,Winter,0.0
33227.0,2,16,2002,1,1,14,16,2002-01-16,Winter,0.0
32699.0,2,16,2002,1,1,15,16,2002-01-16,Winter,0.0
32573.0,2,16,2002,1,1,16,16,2002-01-16,Winter,0.0
33817.0,2,16,2002,1,1,17,16,2002-01-16,Winter,0.0
36666.0,2,16,2002,1,1,18,16,2002-01-16,Winter,0.0
37302.0,2,16,2002,1,1,19,16,2002-01-16,Winter,0.0
36697.0,2,16,2002,1,1,20,16,2002-01-16,Winter,0.0
35832.0,2,16,2002,1,1,21,16,2002-01-16,Winter,0.0
34082.0,2,16,2002,1,1,22,16,2002-01-16,Winter,0.0
31357.0,2,16,2002,1,1,23,16,2002-01-16,Winter,0.0
28849.0,3,17,2002,1,1,0,17,2002-01-17,Winter,0.0
26984.0,3,17,2002,1,1,1,17,2002-01-17,Winter,0.0
26135.0,3,17,2002,1,1,2,17,2002-01-17,Winter,0.0
25601.0,3,17,2002,1,1,3,17,2002-01-17,Winter,0.0
25708.0,3,17,2002,1,1,4,17,2002-01-17,Winter,0.0
26130.0,3,17,2002,1,1,5,17,2002-01-17,Winter,0.0
28123.0,3,17,2002,1,1,6,17,2002-01-17,Winter,0.0
32359.0,3,17,2002,1,1,7,17,2002-01-17,Winter,0.0
34860.0,3,17,2002,1,1,8,17,2002-01-17,Winter,0.0
34703.0,3,17,2002,1,1,9,17,2002-01-17,Winter,0.0
34638.0,3,17,2002,1,1,10,17,2002-01-17,Winter,0.0
34115.0,3,17,2002,1,1,11,17,2002-01-17,Winter,0.0
33835.0,3,17,2002,1,1,12,17,2002-01-17,Winter,0.0
33368.0,3,17,2002,1,1,13,17,2002-01-17,Winter,0.0
33152.0,3,17,2002,1,1,14,17,2002-01-17,Winter,0.0
